name,developer,formats total,.chm,.djvu,.epub,.fb2,.html,.mobi,.oeb,.rtf,.pdf,.txt,.doc,.docx,.pdb
aldiko book reader,aldiko limited,02,,,X,,,,,,X,,,,
alreader,alan.neverland,09,,,X,X,X,X,,X,,X,X,X,X
bookbox,*,02,,,X,,,,,,X,X,,,
cool reader,vadim lopatin,07,X,,X,X,X,X,,X,,X,X,,X
ebookdroid,ak2,05,,X,X,X,,,,X,X,,,,
ebook reader,ebooks.com,02,,,X,,,,,,X,,,,
ezpdf reader,unidocs inc.,04,,,X,,X,,,,X,X,,,
fbreader,fbreader.org limited,11,,X,X,X,X,X,X,X,X,X,X,,X
google play books,google inc.,02,,,X,,,,,,X,,,,
ireader,*,02,,,X,,X,X,,,,X,,,
kindle,amazon mobile llc,02,,,,,,X,,,X,X,,,
kobo books,kobo ebooks,05,,,X,,X,,,X,,X,,,
lektz ebook reader,ael data services llp,02,,,X,,,,,,X,,,,
mantano ebook reader,mantano sas,02,,,X,,,,,,X,,,,
moon+ reader pro,moon+,08,X,,X,X,X,X,X,,X,X,,,
pocketbook,obreey products,07,X,X,X,X,X,,,X,X,X,,,
snapplify,snapplify,07,,,X,,X,,,,X,X,,,
socio ereader,gigamarket ltd.,01,,,X,,,,,,,,,,
zxreader,zxstyles,05,,,X,X,X,,,,,X,,X,
