name,company,on-demand scan,on-access scan,boot-time scans,heuristics,cloudav,firewall,ids,ips,email security,antispam,web protection,macro protection,live update,support,virus bulletin vb100,av comparatives,av test,license,price,first release,country of origin
outpost antivirus pro,agnitum,X,X,X,X,,,X,X,X,,,X,X,X,,,,proprietary,non-free,2007,russia
outpost security suite,agnitum,X,X,X,X,,X,X,X,X,,X,X,X,X,X,,,proprietary,non-free,2008,russia
ahnlab v3 internet security,ahnlab,X,X,,X,,,,,X,,X,,X,X,X,X,X,proprietary,non-free,1988,south korea
avast free antivirus,avast,X,X,X,X,X,,X,,X,,X,X,X,X,X,X,X,proprietary,free,1988,czech republic
avast pro antivirus,avast,X,X,X,X,X,,X,,X,,X,X,X,X,X,,X,proprietary,trialware,1997,czech republic
avast internet security,avast,X,X,X,X,X,X,X,,X,X,X,X,X,X,,,,proprietary,trialware,2009,czech republic
avast premier,avast,X,X,X,X,X,X,X,,X,X,X,X,X,X,,,,proprietary,trialware,2012,czech republic
avetix free,avetix,X,X,,X,,,,,,,X,,X,X,X,,,proprietary,free,2012,italy
avetix pro,avetix,X,X,,X,,,,,,,X,,X,X,X,,,proprietary,non-free,2012,italy
avg antivirus free,avg technologies (grisoft),X,X,X,X,,,,,,,X,X,X,X,X,X,X,proprietary,free,1992,czech republic
avg antivirus,avg technologies (grisoft),X,X,X,X,X,,,,X,,X,X,X,X,X,X,X,proprietary,non-free,2006,czech republic
avg internet security,avg technologies (grisoft),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,proprietary,non-free,2008,czech republic
avira antivirus free (formerly antivir),avira,X,X,X,X,,,,,X,X,X,X,X,X,X,X,X,proprietary,free,1988,germany
avira internet security,avira,X,X,X,X,,,,,X,X,X,X,X,X,X,X,X,proprietary,non-free,2002,germany
bitdefender antivirus free,bitdefender,X,X,X,X,X,,,,,,X,,X,X,X,,,proprietary,free,2013,romania
bitdefender antivirus plus,bitdefender,X,X,X,X,X,,,,,,X,,X,X,X,X,X,proprietary,non-free,1996,romania
bitdefender internet security,bitdefender,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,proprietary,non-free,2008,romania
bullguard antivirus,bullguard,X,X,X,X,,,,,,,,,X,X,X,X,X,proprietary,non-free,2002,united kingdom
bullguard internet security,bullguard,X,X,X,X,,X,,,X,X,X,,X,X,X,X,X,proprietary,non-free,2004,united kingdom
zonealarm pro antivirus + firewall,check point,X,X,,,,X,X,X,,,,,X,X,X,,,proprietary,non-free,2002,united states
zonealarm internet security suite,check point,X,X,,,,X,X,X,X,,X,,X,X,X,,,proprietary,non-free,2012,united states
clamwin,clamwin,X,X,X,X,,,,,X,,,,X,,,,,gnu gpl,free,2002,australia
comodo antivirus,comodo group,X,X,,,,,,,,,,,X,,,,,proprietary,free,2008,united states
comodo antivirus advanced,comodo group,X,X,,X,,,,,,,X,,X,,,,,proprietary,non-free,2008,united states
cysec antivirus free,cysec,X,X,,,,,,,X,,,,X,,,,,proprietary,free,2007,united kingdom
comodo internet security,comodo group,X,X,,X,,X,,,,,X,,X,X,,,,proprietary,non-free,2010,united states
dr. web anti-virus (formerly spiderweb),dr. web,X,X,,,,,,,,,,,X,X,,,,proprietary,trialware,1992,russia
dr. web security space,dr. web,X,X,,,,X,,,,,X,,X,X,,,,proprietary,non-free,2006,russia
eset nod32 antivirus,eset,X,X,X,X,X,,,,X,,X,X,X,X,X,,,proprietary,trialware,1987,slovakia
eset smart security,eset,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,proprietary,trialware,2007,slovakia
f-secure antivirus,f-secure,X,X,X,X,,,,,X,,,X,X,X,X,X,X,proprietary,non-free,1991,finland
f-secure internet security,f-secure,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,proprietary,non-free,2004,finland
f-prot antivirus,frisk software,X,X,X,X,,,,,X,,,X,X,X,X,,,proprietary,trialware,1989,iceland
fortinet antivirus and anti-spyware,fortinet,X,X,,,,,,,,,,,X,X,,,,proprietary,non-free,2004,united states
g data antivirus,g data software,X,X,X,X,,,,,,,X,X,X,X,X,X,X,proprietary,non-free,1987,germany
g data internetsecurity,g data software,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,proprietary,non-free,2004,germany
vipre antivirus,gfi software,X,X,,X,X,X,X,X,,X,X,X,X,X,X,X,X,proprietary,trialware,1994,malta
vipre internet security,gfi software,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,proprietary,non-free,2010,malta
