name,movement,targeting,fighting,code license,code java
Acero,anti pattern at distance,head on targeting,one on one;melee,*,X
Acraepheus,adapting stop and go,averaged velocity;heading circular targeting;enemy velocity;last place i hit,one on one,*,X
AFlatNatural,oscillator movement,virtual guns,*,public domain,X
AgentSmith,danger prediction,virtual guns;linear targeting;circular targeting;head on targeting,*,*,
AIR,gilgalads movement,gilgalads targeting,*,*,X
Aleph,circular movement;minimum risk movement,dynamic clustering;play it forward,one on one;melee,*,
Ali,wave surfing,dynamic clustering,*,rwpcl,X
AlphaAurora,*,circular targeting,*,accsl,
Anarchy,pattern movement,head on targeting,*,*,
Apollon,wave surfing,pattern matching,*,*,
Aral,stop and go,linear targeting,*,*,
Aristocles,random movement,guessfactor targeting,one on one,rwpcl,X
Ascendant,wave surfing,guessfactor targeting,one on one,closed,
Assertive,oscillator movement,symbolic pattern matching,one on one,rwpcl,
Athena,wave surfing,guessfactor targeting;linear targeting,*,rwpcl,
B26354,minimum risk movement;wave surfing,neural targeting,one on one;melee,closed,
Barracuda,random movement,head on targeting,one on one,*,X
BasicGFSurfer,wave surfing,guessfactor targeting,*,public domain,X
BasicGTSurfer,wave surfing,*,*,public domain,X
BasicSurfer,wave surfing,*,*,public domain,X
BlackHole,wave surfing,virtual guns,*,zlib,X
BlackHole/Old/Old,wave surfing,virtual guns;head on targeting;linear targeting;circular targeting;single tick pattern matching;guessfactor targeting,*,npl,X
BlackWidow,stop and go;random movement,symbolic pattern matching,one on one,rwlpcl,X
BlitzBat,minimum risk movement,head on targeting,one on one;melee,rwpcl,X
BrokenSword,minimum risk movement,shadow;melee gun,one on one;melee,zlib,X
BulletCatcher,pusedo not moving;random movement,guessfactor targeting,one on one,*,X
BulletSimBot,fires prediction,*,*,*,
Caligula,linear movement,linear targeting,one on one,*,
Canon,musashi trick;sandbox flattener,dynamic clustering,one on one,*,X
Capulet,minimum risk movement,circular targeting,one on one;melee,*,
CassiusClay,wave surfing,guessfactor targeting,*,rwpcl,X
Centaur,*,dynamic clustering;guessfactor targeting,one on one;melee,*,X
