,1042434082,-2125125814,1377897720,-2139066422,346341157,555009823,-643424253,154016105,-1652103556,-1128898208,-1682328901,-1485731999,515252003,-1491111207,-2133762321,-328405529,194473560,263867358,823942065,-1405486490,-2127805841,2098001472,-183964650,581979670,2001314547,1089222171,369778533,47873739,-1902575555,-805464161,-1554532247,-623866603,640840563,-1794869789,-990695451,-1312600245
00041/,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,,X,,,,,,,,,X,
00021/,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,,,,X,,,,,
00002,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,,,,,,,,,
00001,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,
00026/,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,,X,,,,,,X,,,,
00038/,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,,,X,,,,,,,
00006/,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,,,,,,,,,,
00018/,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,,,,,,
00022/,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,,X,,,,,,
00034/,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,,X,,,,,,,,X,,
00046/,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,X,,,X,,,,,,,
00014/,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,,X,X,,,,,,,,,
00040/,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,X,,,,,,,,X,,
00020/,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,,,X,,,,,,
